飞机转场记录号,"到达
日期","到达
时刻","到达
航班",到达类型,飞机型号,"出发
日期","出发
时刻","出发
航班",出发类型,"上线
机场","下线
机场",问题一登机口：（贪心选择结果）,问题一登机口：（遗传算法结果）,问题二登机口：（贪心选择结果）,问题二登机口：（轮盘选择优化后的基因算法结果）,问题三登机口：（轮盘选择优化后的基因算法结果）,
PK062,19-Jan-18,14:55,GN0523,D,73E,20-Jan-18,16:20,GN0256,D,NJH,ZDV,S24,lawn,S23,lawn,lawn,
PK072,19-Jan-18,15:35,GN0497,D,73L,20-Jan-18,17:05,GN0644,D,OOH,YNO,T10,lawn,S10,lawn,lawn,
PK089,19-Jan-18,16:30,NV663,I,33H,20-Jan-18,13:30,NV692,I,MIS,ZWS,T4,T3,S31,S38,lawn,
PK094,19-Jan-18,16:55,NV693,I,33H,20-Jan-18,13:00,NV662,I,ZWS,MIS,S40,T2,S40,S40,S31,
PK102,19-Jan-18,17:35,GN0209,D,73A,20-Jan-18,13:50,GN0658,D,BPH,UHP,S27,lawn,T13,S4,lawn,
PK104,19-Jan-18,17:50,NV697,I,773,20-Jan-18, 0:20,NV840,I,MBY,NFM,S38,S36,S34,S39,T28,
PK106,19-Jan-18,17:55,NV6489,D,773,20-Jan-18, 0:55,NV880,I,TZY,BLM,T25,T6,T23,T24,T6,
PK107,19-Jan-18,18:00,NV601,I,773,20-Jan-18, 0:5,NV664,I,TGP,DEH,T2,S38,T2,S37,T24,
PK108,19-Jan-18,18:05,NV821,I,33H,20-Jan-18, 0:20,NV608,I,NBE,ZWS,S35,T26,S36,S32,S32,
PK112,19-Jan-18,18:20,NV6253,D,320,20-Jan-18,10:10,NV316,I,MMW,DOY,lawn,lawn,lawn,lawn,lawn,
PK117,19-Jan-18,18:35,NV6779,D,320,20-Jan-18, 7:45,NV6738,D,EMD,EMD,T14,S8,S6,S27,S18,
PK129,19-Jan-18,19:20,NV319,I,773,20-Jan-18, 0:5,NV846,I,ZZA,TZE,S41,T27,T27,S34,T4,
PK131,19-Jan-18,19:30,NV673,I,33E,20-Jan-18, 0:10,NV320,I,TZE,GSB,S32,S40,S32,T4,S40,
PK136,19-Jan-18,19:50,NV6753,D,319,20-Jan-18, 8:15,NV6358,D,EMD,EBU,T15,S16,S20,S20,S21,
PK142,19-Jan-18,20:10,GN0237,D,73H,20-Jan-18,10:40,GN920,I,SJA,UTB,lawn,lawn,lawn,lawn,lawn,
PK144,19-Jan-18,20:10,NV621,I,325,20-Jan-18, 1:50,NV322,I,ILH,NOM,S11,S11,S12,S12,﻿T1,
PK145,19-Jan-18,20:10,NV6317,D,319,20-Jan-18,13:55,NV6540,D,ITO,UTO,T13,lawn,S25,T18,lawn,
PK147,19-Jan-18,20:15,NV6725,D,320,20-Jan-18, 8:20,NV6724,D,ISC,ISC,S4,T16,S7,S23,S24,
PK148,19-Jan-18,20:20,NV6549,D,319,20-Jan-18, 9:30,NV306,I,OBP,LJK,lawn,lawn,lawn,lawn,lawn,
PK149,19-Jan-18,20:25,NV317,I,320,20-Jan-18, 0:15,NV6134,I,DOY,DFC,S12,S12,S11,S13,S12,
PK150,19-Jan-18,20:25,NV3278,D,325,20-Jan-18, 6:40,NV3446,D,YJZ,YJZ,S7,S17,T19,T12,T10,
PK151,19-Jan-18,20:30,NV6117,I,33E,20-Jan-18,10:05,NV866,D,UQF,LNH,T24,T5,T6,T23,T23,
PK155,19-Jan-18,20:45,NV6375,D,323,20-Jan-18, 9:0,NV6230,D,ZOU,QFL,S8,S15,T18,S3,lawn,
PK156,19-Jan-18,21:00,NV6495,D,320,20-Jan-18, 8:0,NV6154,I,AZJ,QVT,T7,T20,T7,T21,T20,
PK159,19-Jan-18,21:05,NV651,I,33E,20-Jan-18,12:30,NV898,I,IOE,GDP,S31,S35,S35,S31,T26,
PK165,19-Jan-18,21:20,NV6699,D,320,20-Jan-18, 8:55,NV336,I,GPD,LJY,T21,lawn,T20,T7,lawn,
PK168,19-Jan-18,21:40,NV6241,D,325,20-Jan-18, 9:25,NV6376,D,QFL,CIZ,S15,T15,T15,S18,T17,
PK170,19-Jan-18,21:50,NV3270,D,321,20-Jan-18, 8:5,NV3263,D,YJZ,YJZ,T19,S19,T11,T11,S15,
PK171,19-Jan-18,21:50,NV6319,D,73E,20-Jan-18, 8:30,NV6734,D,MAI,EMD,S5,S1,T16,S28,T18,
PK173,19-Jan-18,22:00,GN0541,D,738,20-Jan-18, 6:40,GN0480,D,IOZ,LXM,S9,S27,S9,T10,S6,
PK174,19-Jan-18,22:00,NV6405,D,320,20-Jan-18, 9:55,NV3280,D,DHP,ZOU,S1,S7,S2,S6,T19,
PK175,19-Jan-18,22:05,GN0489,D,73E,20-Jan-18, 7:30,GN0282,D,LXM,ISC,S19,T18,S5,T19,T15,
PK177,19-Jan-18,22:05,NV6769,D,320,20-Jan-18, 8:35,NV612,I,IEH,ILH,T20,T21,T21,T20,T22,
PK178,19-Jan-18,22:10,GN945,I,73H,20-Jan-18, 9:40,GN0476,D,CLL,ZJI,lawn,lawn,lawn,lawn,lawn,
PK179,19-Jan-18,22:15,NV6763,D,320,20-Jan-18, 6:40,NV6748,D,ZOK,IEH,S18,T14,S15,S21,S22,
PK180,19-Jan-18,22:25,GN0247,D,73A,20-Jan-18, 6:55,GN0252,D,CBW,CQF,T12,S20,S17,S26,T21,
PK181,19-Jan-18,22:25,GN0645,D,325,20-Jan-18, 8:55,GN0478,D,YNO,TIF,S16,S21,S1,S17,S26,
PK182,19-Jan-18,22:30,GN0291,D,73E,20-Jan-18, 8:0,GN0522,D,DHR,NJH,T11,S24,S28,S9,S8,
PK183,19-Jan-18,22:30,GN0639,D,73H,20-Jan-18, 9:10,GN912,I,DBO,UTB,lawn,lawn,lawn,lawn,lawn,
PK184,19-Jan-18,22:45,NV0747,D,323,20-Jan-18, 9:5,NV6446,D,LXM,TAY,S10,T12,S22,lawn,S2,
PK185,19-Jan-18,22:50,NV617,I,321,20-Jan-18, 8:55,NV6616,D,ILH,GPD,lawn,lawn,lawn,lawn,lawn,
PK186,19-Jan-18,22:50,NV6379,D,319,20-Jan-18, 9:50,NV872,I,ZCQ,LPK,lawn,lawn,lawn,lawn,lawn,
PK187,19-Jan-18,22:55,NV6615,D,319,20-Jan-18, 8:25,NV6548,D,HZT,OBP,S2,S3,S19,T13,S14,
PK188,19-Jan-18,23:00,NV6557,D,73E,20-Jan-18, 6:55,NV3286,D,LXF,ARA,T18,S10,S18,S1,T13,
PK189,19-Jan-18,23:10,GN0285,D,73A,20-Jan-18, 9:25,GN936,I,KOH,UPZ,lawn,lawn,lawn,lawn,lawn,
PK190,19-Jan-18,23:10,NV3464,D,325,20-Jan-18,10:15,NV6160,I,MIX,DKV,lawn,lawn,lawn,lawn,lawn,
PK191,19-Jan-18,23:15,GN0363,D,73E,20-Jan-18, 9:0,GN0414,D,IBL,DBO,S25,S23,S26,S8,S9,
PK192,19-Jan-18,23:20,GN0455,D,73H,20-Jan-18, 7:35,GN0234,D,EZH,UWT,S14,T22,S24,S10,S5,
PK193,19-Jan-18,23:20,NV3447,D,319,20-Jan-18, 9:20,NV6504,D,YJZ,DLH,T17,T10,S16,S5,lawn,
PK194,19-Jan-18,23:25,NV6471,D,323,20-Jan-18,11:10,NV6656,D,TAY,ZOU,T16,S14,S27,S24,lawn,
PK195,19-Jan-18,23:30,NV3195,D,319,20-Jan-18, 9:5,NV6514,D,UTO,DUV,S20,S22,S3,T14,S19,
PK196,19-Jan-18,23:40,GN0643,D,323,20-Jan-18,14:10,NV6722,D,IBL,EMD,S26,lawn,S8,lawn,lawn,
PK197,19-Jan-18,23:55,GN0405,D,73E,20-Jan-18, 9:25,GN0548,D,ETO,CBW,S17,T17,S4,S16,T11,
PK208,19-Jan-18, 5:0,NV847,I,773,20-Jan-18,14:20,NV690,I,TZE,TGP,S33,S33,S39,S41,S34,
PK253,20-Jan-18,10:00,NV6294,D,321,20-Jan-18,12:40,NV3118,I,QFL,NGN,lawn,lawn,lawn,lawn,lawn,
PK254,20-Jan-18,10:05,NV6513,D,320,20-Jan-18,12:30,NV305,D,DUV,DUV,S8,T10,S26,T14,lawn,
PK255,20-Jan-18,10:10,GN0411,D,73H,20-Jan-18,12:00,GN944,I,TXB,CLL,lawn,lawn,lawn,T22,T22,
PK256,20-Jan-18,10:10,NV6443,D,325,20-Jan-18,13:05,NV6488,D,TAY,TZY,S25,S6,S3,T15,S1,
PK257,20-Jan-18,10:15,NV3120,D,73H,20-Jan-18,11:15,NV3120,I,XVI,GTA,T22,T7,T22,T20,T21,
PK258,20-Jan-18,10:15,NV632,D,325,20-Jan-18,11:45,NV632,I,YJZ,OSU,lawn,lawn,lawn,lawn,lawn,
PK259,20-Jan-18,10:20,GN0495,D,73A,20-Jan-18,11:20,GN0460,D,OOH,AIB,S9,T19,T19,S16,S7,
PK260,20-Jan-18,10:20,NV323,I,325,20-Jan-18,12:15,NV614,I,NOM,ILH,S11,S12,S12,S13,S13,
PK261,20-Jan-18,10:20,NV687,I,325,20-Jan-18,12:15,NV6144,I,IOE,JDO,S12,﻿T1,S11,lawn,S12,
PK262,20-Jan-18,10:25,NV6731,D,325,20-Jan-18,11:25,NV618,I,ISC,ILH,T20,T21,T21,lawn,T7,
PK263,20-Jan-18,10:25,NV820,D,320,20-Jan-18,11:35,NV820,I,MIX,OHP,T21,lawn,T20,T7,lawn,
PK264,20-Jan-18,10:30,GN0457,D,738,20-Jan-18,13:05,GN0446,D,DHP,MGR,S10,S8,T18,S15,S23,
PK265,20-Jan-18,10:30,NV858,D,73H,20-Jan-18,12:15,NV858,I,LNH,LJY,lawn,lawn,lawn,lawn,lawn,
PK266,20-Jan-18,10:35,NV6713,D,320,20-Jan-18,12:25,NV6713,D,TIF,AIB,T12,T14,S18,T17,S18,
PK267,20-Jan-18,10:40,GN0271,D,73H,20-Jan-18,12:00,GN0236,D,DHR,SJA,S18,S21,S15,S10,S14,
PK268,20-Jan-18,10:40,NV303,I,320,20-Jan-18,12:30,NV303,D,OHP,YJZ,lawn,lawn,lawn,lawn,lawn,
PK269,20-Jan-18,10:45,NV643,I,320,20-Jan-18,12:05,NV6732,D,GVL,EMD,T7,T9,T7,T9,T8,
PK270,20-Jan-18,11:00,NV305,I,319,20-Jan-18,12:15,NV6316,D,IJK,ITO,T8,lawn,T9,lawn,lawn,
PK271,20-Jan-18,11:00,NV6785,D,320,20-Jan-18,13:10,NV398,I,EMD,PLB,lawn,T20,lawn,T21,lawn,
PK272,20-Jan-18,11:05,NV6307,D,320,20-Jan-18,18:05,NV6308,D,DUV,DUV,S20,T15,S22,lawn,lawn,
PK273,20-Jan-18,11:20,NV6535,D,320,20-Jan-18,12:10,*****,D,DLH,***,S7,S19,S9,S19,S19,
PK274,20-Jan-18,11:25,NV841,I,325,20-Jan-18,13:15,NV610,I,LJY,ILH,﻿T1,S11,﻿T1,﻿T1,﻿T1,
PK275,20-Jan-18,12:00,NV835,I,325,20-Jan-18,18:10,NV830,I,ILH,LJY,lawn,lawn,lawn,lawn,lawn,
PK276,20-Jan-18,12:20,NV6749,D,320,20-Jan-18,13:25,NV6510,D,IEH,MZJ,S9,T16,T19,T11,S20,
PK277,20-Jan-18,12:25,GN0253,D,73A,20-Jan-18,13:35,GN0204,D,CQF,TIF,S23,T12,S17,T10,S21,
PK278,20-Jan-18,12:25,NV3703,I,73H,20-Jan-18,13:55,NV3703,D,OHP,XVI,T22,T8,T22,T8,lawn,
PK279,20-Jan-18,12:40,GN0491,D,738,20-Jan-18,15:50,GN0326,D,LXM,AVI,T18,S9,T12,S6,T11,
PK280,20-Jan-18,12:55,NV674,D,33L,20-Jan-18,14:25,NV674,I,QFL,EFM,T25,T24,T23,T25,T25,
PK281,20-Jan-18,13:00,GN0201,D,73H,20-Jan-18,14:05,GN930,I,KOA,QVT,T7,T7,T7,T20,T21,
PK282,20-Jan-18,13:05,NV3287,D,73E,20-Jan-18,16:30,NV6556,D,ARA,LXF,T19,S21,S14,S27,S3,
PK283,20-Jan-18,13:10,GN0235,D,73H,20-Jan-18,14:20,GN0250,D,UWT,YNO,S7,S16,S9,S26,S8,
PK284,20-Jan-18,13:15,NV3266,D,325,20-Jan-18,14:15,NV3269,D,YJZ,YJZ,S18,S17,S15,S18,S26,
PK285,20-Jan-18,13:20,NV6155,I,320,20-Jan-18,14:25,NV6494,D,QVT,AZJ,T9,T9,T8,T9,T8,
PK286,20-Jan-18,13:25,NV6735,D,73E,20-Jan-18,14:30,NV6198,I,EMD,GVL,T20,T21,T21,T22,T7,
PK287,20-Jan-18,13:40,GN913,I,73H,20-Jan-18,14:45,GN938,I,UTB,JDO,S12,﻿T1,S11,S13,S11,
PK288,20-Jan-18,13:40,NV6719,D,320,20-Jan-18,14:50,NV6718,D,IJB,TIF,T12,T18,S18,S24,S19,
PK289,20-Jan-18,13:50,GN932,D,738,20-Jan-18,14:55,GN932,I,DHP,LJY,T21,lawn,T20,T7,T20,
PK290,20-Jan-18,13:50,NV383,I,321,20-Jan-18,15:30,NV383,D,OSU,QFL,T8,T22,T9,lawn,T9,
PK291,20-Jan-18,13:55,NV6727,D,320,20-Jan-18,17:25,NV6768,D,ZLI,IEH,S28,S1,T17,S22,S6,
PK292,20-Jan-18,14:00,NV6153,I,325,20-Jan-18,15:45,NV6116,I,JDO,UQF,S11,S11,S12,﻿T1,﻿T1,
PK293,20-Jan-18,14:10,NV6575,D,320,20-Jan-18,15:20,NV6574,D,IGF,IGF,S9,S28,T19,S14,S7,
PK294,20-Jan-18,14:20,NV3654,D,73E,20-Jan-18,15:25,NV6318,D,XVI,MAI,S23,T16,S17,S9,lawn,
PK295,20-Jan-18,14:25,NV6171,I,325,20-Jan-18,16:15,NV6742,D,DKV,GPD,lawn,lawn,lawn,lawn,lawn,
PK296,20-Jan-18,14:25,NV873,I,319,20-Jan-18,15:40,NV6378,D,LPK,ZCQ,lawn,lawn,lawn,lawn,T22,
PK297,20-Jan-18,14:30,NV6709,D,323,20-Jan-18,17:20,NV3273,D,DHR,YJZ,S2,T14,S19,S20,S15,
PK298,20-Jan-18,14:35,NV6359,D,319,20-Jan-18,16:30,NV6614,D,EBU,HZT,S22,S8,T11,S28,T12,
PK299,20-Jan-18,14:40,GN0477,D,73H,20-Jan-18,16:10,GN0638,D,ZJI,DBO,S21,S20,T14,S1,S14,
PK300,20-Jan-18,14:45,NV6685,D,320,20-Jan-18,15:55,NV6685,D,LPX,UBP,S19,T19,S5,S3,lawn,
PK301,20-Jan-18,14:45,NV6711,D,325,20-Jan-18,17:10,NV686,I,GPD,IOE,lawn,T20,lawn,lawn,lawn,
PK302,20-Jan-18,14:50,GN953,I,73H,20-Jan-18,19:30,GN942,I,CLL,ILU,lawn,lawn,lawn,lawn,lawn,
PK303,20-Jan-18,14:50,NV613,I,320,20-Jan-18,16:15,NV616,I,ILH,ILH,﻿T1,S13,﻿T1,S11,S12,
PK304,20-Jan-18,14:50,NV681,I,33H,20-Jan-18,16:10,NV656,I,DEH,TJO,T2,T26,T27,S35,T2,
PK305,20-Jan-18,14:55,GN0283,D,73E,20-Jan-18,15:55,GN0362,D,ISC,IBL,S14,S7,S24,S4,S1,
PK306,20-Jan-18,14:55,GN0479,D,325,20-Jan-18,16:05,GN0280,D,TIF,DHR,T14,S26,S6,S7,S17,
PK307,20-Jan-18,14:55,GN0523,D,73E,20-Jan-18,16:35,GN0348,D,NJH,TZY,T15,T10,S20,S19,S9,
PK308,20-Jan-18,15:00,NV899,I,33E,20-Jan-18,20:20,NV672,I,GDP,TZE,S35,S34,S34,T3,S35,
PK309,20-Jan-18,15:00,*****,D,320,20-Jan-18,15:50,NV3465,D,***,MIX,S18,S15,S15,T11,S16,
PK310,20-Jan-18,15:10,GN0423,D,73E,20-Jan-18,16:20,GN0642,D,DBO,IBL,T11,S2,S28,S18,S24,
PK311,20-Jan-18,15:15,NV629,I,73H,20-Jan-18,16:50,NV629,D,GVL,XVI,T7,T8,T8,T8,lawn,
PK312,20-Jan-18,15:20,GN0203,D,738,20-Jan-18,16:10,*****,D,EMD,***,S7,S23,S9,S5,T19,
PK313,20-Jan-18,15:20,NV382,D,321,20-Jan-18,16:55,NV382,I,QFL,OSU,T20,T21,T7,T21,T7,
PK314,20-Jan-18,15:25,GN931,I,73H,20-Jan-18,17:00,GN980,I,UTB,LCW,S13,lawn,S13,S12,S13,
PK315,20-Jan-18,15:25,NV6453,D,323,20-Jan-18,16:45,NV0746,D,TAY,LXM,S4,S19,S7,S16,T17,
PK316,20-Jan-18,15:30,NV657,I,33E,20-Jan-18,19:45,NV848,I,TJO,NFM,S41,T24,T2,S31,T4,
PK317,20-Jan-18,15:35,NV641,I,320,20-Jan-18,16:40,NV6736,D,OHP,EMD,T22,T7,T22,T9,T8,
PK318,20-Jan-18,15:40,GN965,I,73H,20-Jan-18,18:30,GN964,I,CLL,CLL,lawn,S12,lawn,lawn,lawn,
PK319,20-Jan-18,15:45,NV302,D,320,20-Jan-18,17:15,NV302,I,YJZ,OHP,T21,lawn,T21,T20,lawn,
PK320,20-Jan-18,15:55,GN0549,D,73E,20-Jan-18,17:30,GN0404,D,CBW,ETO,S5,S16,T16,S15,T14,
PK321,20-Jan-18,15:55,GN937,I,73A,20-Jan-18,17:00,GN0246,D,UPZ,CBW,T9,T9,lawn,T7,lawn,
PK322,20-Jan-18,15:55,NV627,I,73E,20-Jan-18,19:15,NV3787,D,LJY,ZJI,lawn,lawn,lawn,lawn,lawn,
PK323,20-Jan-18,15:55,NV6657,D,323,20-Jan-18,17:05,NV6462,D,ZOU,TAY,T12,T12,S18,T19,S25,
PK324,20-Jan-18,15:55,NV813,I,325,20-Jan-18,17:30,NV6162,I,ILH,JDO,S12,﻿T1,S11,S13,S11,
PK325,20-Jan-18,16:05,NV6715,D,320,20-Jan-18,17:40,NV6710,D,TIF,IJB,S9,S25,T19,T13,S23,
PK326,20-Jan-18,16:15,NV3260,D,320,20-Jan-18,18:05,NV3277,D,YJZ,YJZ,S16,S28,S1,T12,S20,
PK327,20-Jan-18,16:20,NV6377,D,325,20-Jan-18,18:30,NV834,I,CIZ,ILH,lawn,lawn,lawn,lawn,lawn,
PK328,20-Jan-18,16:20,NV683,I,33L,21-Jan-18, 7:55,NV380,I,IOM,DUT,T4,T25,S31,T2,S32,
PK329,20-Jan-18,16:30,NV3197,I,320,20-Jan-18,17:35,NV6726,D,PLB,ZLI,T8,lawn,T9,T22,lawn,
PK330,20-Jan-18,16:30,NV3702,D,73H,20-Jan-18,18:00,NV3702,I,XVI,OHP,lawn,lawn,lawn,lawn,T21,
PK331,20-Jan-18,16:30,NV663,I,33H,20-Jan-18,20:05,NV6588,D,MIS,LNH,T6,T23,T23,T5,T5,
PK332,20-Jan-18,16:35,NV304,D,319,20-Jan-18,17:40,NV304,I,DUV,IJK,lawn,lawn,T20,lawn,T22,
PK333,20-Jan-18,16:35,NV635,I,773,20-Jan-18,20:00,NV308,I,OSU,KGL,S32,T27,S32,T4,T26,
PK334,20-Jan-18,16:40,NV307,I,319,20-Jan-18,17:35,NV638,I,LJK,PLK,S11,T22,S12,﻿T1,﻿T1,
PK335,20-Jan-18,16:50,GN0637,D,738,20-Jan-18,17:55,GN0636,D,XOA,XOA,S23,S10,S17,S3,S26,
PK336,20-Jan-18,16:55,NV391,I,33L,21-Jan-18,13:40,NV342,I,DUT,DNC,S37,T26,T26,S37,lawn,
PK337,20-Jan-18,16:55,NV6717,D,320,20-Jan-18,18:10,NV642,I,INJ,GVL,lawn,lawn,lawn,lawn,T20,
PK338,20-Jan-18,16:55,NV693,I,33H,21-Jan-18, 0:15,NV882,I,ZWS,BNT,S36,S35,S40,T27,T28,
PK339,20-Jan-18,17:00,*****,D,738,20-Jan-18,17:50,GN0332,D,***,MIX,S18,S18,S15,S17,S5,
PK340,20-Jan-18,17:10,NV6119,I,33E,21-Jan-18,12:30,NV898,I,UQF,GDP,S33,S38,S39,T28,T2,
PK341,20-Jan-18,17:20,GN0299,D,738,20-Jan-18,18:20,GN976,I,TIF,LCW,lawn,lawn,lawn,lawn,lawn,
PK342,20-Jan-18,17:20,GN0333,D,738,21-Jan-18,15:50,GN0326,D,MIX,AVI,S3,lawn,S21,S2,lawn,
PK343,20-Jan-18,17:30,NV6145,I,325,21-Jan-18, 9:15,NV6152,I,JDO,JDO,lawn,lawn,lawn,lawn,lawn,
PK344,20-Jan-18,17:30,NV619,I,325,20-Jan-18,18:40,NV624,I,ILH,SFQ,﻿T1,T7,﻿T1,S11,S12,
PK345,20-Jan-18,17:35,GN0209,D,73A,20-Jan-18,21:00,GN0494,D,BPH,OOH,S19,S20,S5,S27,S21,
PK346,20-Jan-18,17:40,NV6301,D,325,20-Jan-18,20:55,NV6720,D,AVI,ISC,T18,S6,T12,S19,T10,
PK347,20-Jan-18,17:50,NV697,I,773,20-Jan-18,21:00,NV688,I,MBY,MBY,T2,S41,T27,S35,S39,
PK348,20-Jan-18,18:00,NV3786,D,73E,20-Jan-18,19:30,NV3631,D,ZJI,XVI,S7,T12,S9,T15,T7,
PK349,20-Jan-18,18:00,NV601,I,773,21-Jan-18, 0:20,NV840,I,TGP,NFM,T3,S40,T4,S39,S33,
PK350,20-Jan-18,18:10,GN0461,D,73H,20-Jan-18,19:30,GN972,I,LXM,LVM,T22,T20,T22,T21,lawn,
PK351,20-Jan-18,18:15,NV3131,I,73H,20-Jan-18,19:45,NV3131,D,GTA,XVI,T9,T9,T7,T9,T8,
PK352,20-Jan-18,18:20,NV6489,D,33L,20-Jan-18,20:40,NV658,I,TZY,CLL,T25,T6,T6,T25,T25,
PK353,20-Jan-18,18:20,NV831,I,320,20-Jan-18,19:35,NV831,D,OHP,MIX,T7,T8,T8,T8,lawn,
PK354,20-Jan-18,18:25,NV615,I,325,20-Jan-18,21:00,NV6312,D,ILH,IBL,lawn,lawn,lawn,lawn,lawn,
PK355,20-Jan-18,18:30,NV3421,D,319,20-Jan-18,19:35,NV3410,D,YOO,YOO,S9,T14,T19,S6,S8,
PK356,20-Jan-18,18:30,NV6525,D,325,20-Jan-18,21:25,NV6472,D,DUV,TAY,S22,S3,S14,S18,S7,
PK357,20-Jan-18,18:35,NV6739,D,320,21-Jan-18, 7:45,NV6738,D,EMD,EMD,S6,lawn,T10,S7,S6,
PK358,20-Jan-18,18:40,GN941,I,73H,20-Jan-18,19:45,GN978,I,QVT,CLJ,S12,S13,S11,S13,S13,
PK359,20-Jan-18,18:45,NV399,I,320,20-Jan-18,19:50,NV6784,D,PLB,EMD,T8,T22,T9,T22,T22,
PK360,20-Jan-18,18:50,GN0465,D,738,20-Jan-18,20:05,GN0452,D,XFI,EZH,T12,S15,S18,S16,S16,
PK361,20-Jan-18,18:50,GN951,I,73H,20-Jan-18,20:00,GN968,I,CLL,ILU,S11,﻿T1,S12,﻿T1,﻿T1,
PK362,20-Jan-18,18:50,NV3622,D,319,20-Jan-18,20:00,NV6486,D,XVI,EZH,S18,S8,S15,S1,S22,
PK363,20-Jan-18,18:50,NV829,I,773,21-Jan-18, 0:5,NV664,I,PSE,DEH,T28,S37,S37,S32,S41,
PK364,20-Jan-18,18:55,GN0287,D,738,20-Jan-18,21:10,GN0287,D,DHR,LXM,S21,S26,T14,S23,S27,
PK365,20-Jan-18,18:55,NV6663,D,320,20-Jan-18,20:00,NV860,I,MZJ,QOI,T20,T21,T21,T20,lawn,
PK366,20-Jan-18,18:55,NV859,I,73H,20-Jan-18,21:00,NV859,D,LJY,LNH,lawn,lawn,lawn,T7,lawn,
PK367,20-Jan-18,19:10,GN0641,D,738,20-Jan-18,21:20,GN0428,D,XOA,DBO,T11,S27,S28,T10,lawn,
PK368,20-Jan-18,19:15,NV3119,I,321,20-Jan-18,21:15,NV6297,D,NGN,QFL,lawn,lawn,lawn,lawn,lawn,
PK369,20-Jan-18,19:15,NV6714,D,320,20-Jan-18,21:25,NV6714,D,AIB,TIF,T19,T15,T11,T14,T11,
PK370,20-Jan-18,19:20,NV319,I,773,21-Jan-18, 0:5,NV846,I,ZZA,TZE,S31,T4,S35,S41,S40,
PK371,20-Jan-18,19:20,NV337,I,320,20-Jan-18,23:10,NV6156,I,LJY,DSL,S13,S11,S13,lawn,lawn,
PK372,20-Jan-18,19:30,NV6199,I,73E,20-Jan-18,21:30,NV3655,D,GVL,XVI,lawn,lawn,lawn,lawn,lawn,
PK373,20-Jan-18,19:30,NV673,I,33E,21-Jan-18, 0:10,NV320,I,TZE,GSB,S40,S33,S33,lawn,S34,
PK374,20-Jan-18,19:30,NV699,I,773,20-Jan-18,21:40,NV699,D,KGL,GPD,T24,T5,T24,T24,T23,
PK375,20-Jan-18,19:35,NV633,I,325,20-Jan-18,21:05,NV633,D,OSU,YJZ,lawn,lawn,lawn,lawn,lawn,
PK376,20-Jan-18,19:40,NV6763,D,320,20-Jan-18,21:05,NV6544,D,ZOK,DLH,T14,T16,S6,S8,S3,
PK377,20-Jan-18,19:40,NV849,I,33E,20-Jan-18,23:30,NV654,I,NFM,TJO,S39,T3,T3,S40,S36,
PK378,20-Jan-18,19:50,NV6753,D,319,20-Jan-18,21:10,NV836,I,EMD,ILH,T21,lawn,T20,lawn,T21,
PK379,20-Jan-18,20:00,GN939,I,73H,20-Jan-18,21:05,GN0300,D,JDO,TXB,lawn,T7,lawn,lawn,lawn,
PK380,20-Jan-18,20:00,NV6324,D,73E,20-Jan-18,21:00,NV6325,D,UZO,UZO,S23,S25,S17,S21,T19,
PK381,20-Jan-18,20:00,NV6527,D,320,20-Jan-18,21:30,NV6528,D,DUV,DUV,T15,T13,S20,S24,S15,
PK382,20-Jan-18,20:00,NV827,I,33E,20-Jan-18,21:55,NV826,I,COF,COF,S38,T28,S36,S36,S31,
